-----------------------------------------------------------
Server listening on 5001
-----------------------------------------------------------
Accepted connection from 10.0.0.4, port 53710
[ 38] local 10.0.0.9 port 5001 connected to 10.0.0.4 port 53711
[ ID] Interval           Transfer     Bandwidth
[ 38]  80.00-81.00  sec  70.7 KBytes   579 Kbits/sec                  
[ 38]  81.00-82.00  sec  45.2 KBytes   371 Kbits/sec                  
[ 38]  82.00-83.00  sec  7.07 KBytes  57.9 Kbits/sec                  
[ 38]  83.00-84.00  sec  43.8 KBytes   359 Kbits/sec                  
[ 38]  84.00-85.00  sec  49.5 KBytes   405 Kbits/sec                  
[ 38]  85.00-86.00  sec  36.8 KBytes   301 Kbits/sec                  
[ 38]  86.00-87.00  sec  21.2 KBytes   174 Kbits/sec                  
[ 38]  87.00-88.00  sec  42.4 KBytes   347 Kbits/sec                  
[ 38]  88.00-89.00  sec  8.48 KBytes  69.5 Kbits/sec                  
[ 38]  89.00-90.00  sec  48.1 KBytes   394 Kbits/sec                  
[ 38]  90.00-91.00  sec  17.0 KBytes   139 Kbits/sec                  
[ 38]  91.00-92.00  sec  45.2 KBytes   371 Kbits/sec                  
[ 38]  92.00-93.00  sec  9.90 KBytes  81.0 Kbits/sec                  
[ 38]  93.00-94.00  sec  18.4 KBytes   151 Kbits/sec                  
[ 38]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 38]  95.00-96.00  sec  19.8 KBytes   162 Kbits/sec                  
[ 38]  96.00-97.00  sec  41.0 KBytes   336 Kbits/sec                  
[ 38]  97.00-98.00  sec  38.2 KBytes   313 Kbits/sec                  
[ 38]  98.00-99.00  sec  39.6 KBytes   324 Kbits/sec                  
[ 38]  99.00-100.00 sec  73.5 KBytes   602 Kbits/sec                  
[ 38] 100.00-100.11 sec  1.41 KBytes   105 Kbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth
[ 38]   0.00-100.11 sec  0.00 Bytes  0.00 bits/sec                  sender
[ 38]   0.00-100.11 sec  2.89 MBytes   242 Kbits/sec                  receiver
