-----------------------------------------------------------
Server listening on 5001
-----------------------------------------------------------
Accepted connection from 10.0.0.11, port 57521
[ 98] local 10.0.0.31 port 5001 connected to 10.0.0.11 port 57524
[ ID] Interval           Transfer     Bandwidth
[ 98]  79.00-80.00  sec  18.4 KBytes   151 Kbits/sec                  
[ 98]  80.00-81.00  sec  5.66 KBytes  46.3 Kbits/sec                  
[ 98]  81.00-82.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  82.00-83.00  sec  12.7 KBytes   104 Kbits/sec                  
[ 98]  83.00-84.00  sec  11.3 KBytes  92.6 Kbits/sec                  
[ 98]  84.00-85.00  sec  8.48 KBytes  69.5 Kbits/sec                  
[ 98]  85.00-86.00  sec  17.0 KBytes   139 Kbits/sec                  
[ 98]  86.00-87.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  87.00-88.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  88.00-89.00  sec  22.6 KBytes   185 Kbits/sec                  
[ 98]  89.00-90.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  91.00-92.00  sec  18.4 KBytes   151 Kbits/sec                  
[ 98]  92.00-93.00  sec  5.66 KBytes  46.3 Kbits/sec                  
[ 98]  93.00-94.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  94.00-95.00  sec  8.48 KBytes  69.6 Kbits/sec                  
[ 98]  95.00-96.00  sec  15.6 KBytes   127 Kbits/sec                  
[ 98]  96.00-97.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  97.00-98.00  sec  4.24 KBytes  34.8 Kbits/sec                  
[ 98]  98.00-99.00  sec  19.8 KBytes   162 Kbits/sec                  
[ 98]  99.00-100.00 sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98] 100.00-100.21 sec  0.00 Bytes  0.00 bits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth
[ 98]   0.00-100.21 sec  0.00 Bytes  0.00 bits/sec                  sender
[ 98]   0.00-100.21 sec   800 KBytes  65.4 Kbits/sec                  receiver
