PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=37.8 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=19.5 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=36.9 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=36 ttl=64 time=24.9 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=40 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=41 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=45 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=48 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=52 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=55 ttl=64 time=56.5 ms
64 bytes from 10.0.0.8: icmp_seq=56 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=59 ttl=64 time=40.5 ms
64 bytes from 10.0.0.8: icmp_seq=60 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=63 ttl=64 time=24.3 ms
64 bytes from 10.0.0.8: icmp_seq=64 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=68 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=19.7 ms
64 bytes from 10.0.0.8: icmp_seq=75 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=49.8 ms
64 bytes from 10.0.0.8: icmp_seq=79 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=82 ttl=64 time=39.3 ms
64 bytes from 10.0.0.8: icmp_seq=83 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=86 ttl=64 time=27.2 ms
64 bytes from 10.0.0.8: icmp_seq=87 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=90 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=94 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=95 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=98 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=99 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=102 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=105 ttl=64 time=47.3 ms
64 bytes from 10.0.0.8: icmp_seq=106 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=109 ttl=64 time=37.6 ms
64 bytes from 10.0.0.8: icmp_seq=110 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=113 ttl=64 time=19.3 ms
64 bytes from 10.0.0.8: icmp_seq=114 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=117 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=118 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=121 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=122 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=125 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=128 ttl=64 time=59.4 ms
64 bytes from 10.0.0.8: icmp_seq=129 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=132 ttl=64 time=43.3 ms
64 bytes from 10.0.0.8: icmp_seq=133 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=136 ttl=64 time=31.4 ms
64 bytes from 10.0.0.8: icmp_seq=137 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=140 ttl=64 time=15.3 ms
64 bytes from 10.0.0.8: icmp_seq=141 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=144 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=145 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=148 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=149 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=152 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=155 ttl=64 time=51.5 ms
64 bytes from 10.0.0.8: icmp_seq=156 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=159 ttl=64 time=35.3 ms
64 bytes from 10.0.0.8: icmp_seq=160 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=162 ttl=64 time=60.5 ms
64 bytes from 10.0.0.8: icmp_seq=163 ttl=64 time=21.3 ms
64 bytes from 10.0.0.8: icmp_seq=164 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=167 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=168 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=171 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=172 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=175 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=176 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=179 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=182 ttl=64 time=47.3 ms
64 bytes from 10.0.0.8: icmp_seq=183 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=186 ttl=64 time=29.8 ms
64 bytes from 10.0.0.8: icmp_seq=187 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=190 ttl=64 time=19.3 ms
64 bytes from 10.0.0.8: icmp_seq=191 ttl=64 time=34.5 ms
64 bytes from 10.0.0.8: icmp_seq=194 ttl=64 time=12.6 ms
