PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=33.4 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=18.4 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=81.3 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=82.7 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=21.6 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=81.3 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=151 ms
64 bytes from 10.0.0.8: icmp_seq=36 ttl=64 time=38.2 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=30.1 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=35.3 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=64.5 ms
64 bytes from 10.0.0.8: icmp_seq=40 ttl=64 time=61.9 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=74.9 ms
64 bytes from 10.0.0.8: icmp_seq=45 ttl=64 time=72.9 ms
64 bytes from 10.0.0.8: icmp_seq=46 ttl=64 time=78.3 ms
64 bytes from 10.0.0.8: icmp_seq=50 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=51 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=52 ttl=64 time=50.1 ms
64 bytes from 10.0.0.8: icmp_seq=53 ttl=64 time=63.4 ms
64 bytes from 10.0.0.8: icmp_seq=54 ttl=64 time=76.7 ms
64 bytes from 10.0.0.8: icmp_seq=57 ttl=64 time=42.7 ms
64 bytes from 10.0.0.8: icmp_seq=60 ttl=64 time=82.6 ms
64 bytes from 10.0.0.8: icmp_seq=63 ttl=64 time=45.2 ms
64 bytes from 10.0.0.8: icmp_seq=64 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=65 ttl=64 time=41.8 ms
64 bytes from 10.0.0.8: icmp_seq=66 ttl=64 time=62.5 ms
64 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=60.2 ms
64 bytes from 10.0.0.8: icmp_seq=70 ttl=64 time=20.2 ms
64 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=72 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=73 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=74 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=77 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=30.5 ms
64 bytes from 10.0.0.8: icmp_seq=79 ttl=64 time=67.6 ms
64 bytes from 10.0.0.8: icmp_seq=80 ttl=64 time=96.5 ms
64 bytes from 10.0.0.8: icmp_seq=81 ttl=64 time=102 ms
64 bytes from 10.0.0.8: icmp_seq=84 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=85 ttl=64 time=29.9 ms
64 bytes from 10.0.0.8: icmp_seq=86 ttl=64 time=43.3 ms
64 bytes from 10.0.0.8: icmp_seq=87 ttl=64 time=56.4 ms
64 bytes from 10.0.0.8: icmp_seq=88 ttl=64 time=85.9 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=92 ttl=64 time=42.4 ms
64 bytes from 10.0.0.8: icmp_seq=93 ttl=64 time=55.3 ms
64 bytes from 10.0.0.8: icmp_seq=94 ttl=64 time=52.2 ms
64 bytes from 10.0.0.8: icmp_seq=98 ttl=64 time=42.7 ms
64 bytes from 10.0.0.8: icmp_seq=99 ttl=64 time=71.5 ms
64 bytes from 10.0.0.8: icmp_seq=100 ttl=64 time=68.2 ms
64 bytes from 10.0.0.8: icmp_seq=101 ttl=64 time=65.2 ms
64 bytes from 10.0.0.8: icmp_seq=104 ttl=64 time=49.3 ms
64 bytes from 10.0.0.8: icmp_seq=105 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=106 ttl=64 time=60.3 ms
64 bytes from 10.0.0.8: icmp_seq=107 ttl=64 time=81.5 ms
64 bytes from 10.0.0.8: icmp_seq=108 ttl=64 time=94.4 ms
64 bytes from 10.0.0.8: icmp_seq=111 ttl=64 time=43.9 ms
64 bytes from 10.0.0.8: icmp_seq=112 ttl=64 time=16.6 ms
64 bytes from 10.0.0.8: icmp_seq=113 ttl=64 time=45.5 ms
64 bytes from 10.0.0.8: icmp_seq=114 ttl=64 time=66.4 ms
64 bytes from 10.0.0.8: icmp_seq=115 ttl=64 time=95.8 ms
64 bytes from 10.0.0.8: icmp_seq=118 ttl=64 time=16.2 ms
64 bytes from 10.0.0.8: icmp_seq=119 ttl=64 time=38.2 ms
64 bytes from 10.0.0.8: icmp_seq=120 ttl=64 time=43.3 ms
64 bytes from 10.0.0.8: icmp_seq=121 ttl=64 time=56.4 ms
64 bytes from 10.0.0.8: icmp_seq=122 ttl=64 time=53.4 ms
64 bytes from 10.0.0.8: icmp_seq=125 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=126 ttl=64 time=54.4 ms
64 bytes from 10.0.0.8: icmp_seq=127 ttl=64 time=91.6 ms
64 bytes from 10.0.0.8: icmp_seq=128 ttl=64 time=80.9 ms
64 bytes from 10.0.0.8: icmp_seq=129 ttl=64 time=110 ms
64 bytes from 10.0.0.8: icmp_seq=132 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=133 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=134 ttl=64 time=62.9 ms
64 bytes from 10.0.0.8: icmp_seq=135 ttl=64 time=60.2 ms
64 bytes from 10.0.0.8: icmp_seq=136 ttl=64 time=73.8 ms
64 bytes from 10.0.0.8: icmp_seq=139 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=140 ttl=64 time=50.3 ms
64 bytes from 10.0.0.8: icmp_seq=141 ttl=64 time=79.5 ms
64 bytes from 10.0.0.8: icmp_seq=142 ttl=64 time=108 ms
64 bytes from 10.0.0.8: icmp_seq=145 ttl=64 time=33.5 ms
64 bytes from 10.0.0.8: icmp_seq=146 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=147 ttl=64 time=33.2 ms
64 bytes from 10.0.0.8: icmp_seq=148 ttl=64 time=54.4 ms
64 bytes from 10.0.0.8: icmp_seq=149 ttl=64 time=51.2 ms
64 bytes from 10.0.0.8: icmp_seq=152 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=153 ttl=64 time=38.2 ms
64 bytes from 10.0.0.8: icmp_seq=154 ttl=64 time=67.5 ms
64 bytes from 10.0.0.8: icmp_seq=155 ttl=64 time=104 ms
64 bytes from 10.0.0.8: icmp_seq=156 ttl=64 time=102 ms
64 bytes from 10.0.0.8: icmp_seq=159 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=160 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=161 ttl=64 time=45.6 ms
64 bytes from 10.0.0.8: icmp_seq=162 ttl=64 time=58.4 ms
64 bytes from 10.0.0.8: icmp_seq=163 ttl=64 time=55.4 ms
64 bytes from 10.0.0.8: icmp_seq=166 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=167 ttl=64 time=30.3 ms
64 bytes from 10.0.0.8: icmp_seq=168 ttl=64 time=51.3 ms
64 bytes from 10.0.0.8: icmp_seq=169 ttl=64 time=96.7 ms
64 bytes from 10.0.0.8: icmp_seq=170 ttl=64 time=110 ms
64 bytes from 10.0.0.8: icmp_seq=173 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=174 ttl=64 time=42.0 ms
64 bytes from 10.0.0.8: icmp_seq=175 ttl=64 time=55.4 ms
64 bytes from 10.0.0.8: icmp_seq=176 ttl=64 time=52.2 ms
64 bytes from 10.0.0.8: icmp_seq=179 ttl=64 time=48.1 ms
64 bytes from 10.0.0.8: icmp_seq=180 ttl=64 time=34.3 ms
64 bytes from 10.0.0.8: icmp_seq=181 ttl=64 time=95.8 ms
64 bytes from 10.0.0.8: icmp_seq=182 ttl=64 time=93.2 ms
64 bytes from 10.0.0.8: icmp_seq=183 ttl=64 time=107 ms
64 bytes from 10.0.0.8: icmp_seq=186 ttl=64 time=26.1 ms
64 bytes from 10.0.0.8: icmp_seq=187 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=188 ttl=64 time=61.6 ms
64 bytes from 10.0.0.8: icmp_seq=189 ttl=64 time=82.5 ms
64 bytes from 10.0.0.8: icmp_seq=190 ttl=64 time=95.5 ms
64 bytes from 10.0.0.8: icmp_seq=193 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=194 ttl=64 time=25.8 ms
64 bytes from 10.0.0.8: icmp_seq=195 ttl=64 time=54.5 ms
64 bytes from 10.0.0.8: icmp_seq=196 ttl=64 time=83.6 ms
64 bytes from 10.0.0.8: icmp_seq=197 ttl=64 time=88.5 ms
64 bytes from 10.0.0.8: icmp_seq=200 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=201 ttl=64 time=29.9 ms
64 bytes from 10.0.0.8: icmp_seq=202 ttl=64 time=58.5 ms
64 bytes from 10.0.0.8: icmp_seq=203 ttl=64 time=80.4 ms
64 bytes from 10.0.0.8: icmp_seq=204 ttl=64 time=93.5 ms
64 bytes from 10.0.0.8: icmp_seq=207 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=208 ttl=64 time=70.5 ms
64 bytes from 10.0.0.8: icmp_seq=209 ttl=64 time=67.2 ms
64 bytes from 10.0.0.8: icmp_seq=210 ttl=64 time=96.8 ms
64 bytes from 10.0.0.8: icmp_seq=213 ttl=64 time=55.6 ms
64 bytes from 10.0.0.8: icmp_seq=214 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=215 ttl=64 time=72.3 ms
64 bytes from 10.0.0.8: icmp_seq=216 ttl=64 time=69.2 ms
64 bytes from 10.0.0.8: icmp_seq=217 ttl=64 time=82.6 ms
64 bytes from 10.0.0.8: icmp_seq=220 ttl=64 time=42.5 ms
64 bytes from 10.0.0.8: icmp_seq=221 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=222 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=223 ttl=64 time=70.2 ms
64 bytes from 10.0.0.8: icmp_seq=224 ttl=64 time=75.6 ms
64 bytes from 10.0.0.8: icmp_seq=227 ttl=64 time=16.3 ms
64 bytes from 10.0.0.8: icmp_seq=228 ttl=64 time=42.4 ms
64 bytes from 10.0.0.8: icmp_seq=229 ttl=64 time=71.5 ms
64 bytes from 10.0.0.8: icmp_seq=230 ttl=64 time=76.3 ms
64 bytes from 10.0.0.8: icmp_seq=231 ttl=64 time=105 ms
64 bytes from 10.0.0.8: icmp_seq=234 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=235 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=236 ttl=64 time=49.8 ms
64 bytes from 10.0.0.8: icmp_seq=237 ttl=64 time=62.4 ms
64 bytes from 10.0.0.8: icmp_seq=238 ttl=64 time=91.7 ms
64 bytes from 10.0.0.8: icmp_seq=241 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=242 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=243 ttl=64 time=41.4 ms
64 bytes from 10.0.0.8: icmp_seq=244 ttl=64 time=70.5 ms
64 bytes from 10.0.0.8: icmp_seq=245 ttl=64 time=91.9 ms
64 bytes from 10.0.0.8: icmp_seq=248 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=249 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=250 ttl=64 time=41.7 ms
64 bytes from 10.0.0.8: icmp_seq=251 ttl=64 time=62.4 ms
64 bytes from 10.0.0.8: icmp_seq=255 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=256 ttl=64 time=42.8 ms
64 bytes from 10.0.0.8: icmp_seq=257 ttl=64 time=79.6 ms
64 bytes from 10.0.0.8: icmp_seq=258 ttl=64 time=84.5 ms
64 bytes from 10.0.0.8: icmp_seq=261 ttl=64 time=31.5 ms
64 bytes from 10.0.0.8: icmp_seq=262 ttl=64 time=29.9 ms
64 bytes from 10.0.0.8: icmp_seq=263 ttl=64 time=42.4 ms
64 bytes from 10.0.0.8: icmp_seq=264 ttl=64 time=95.7 ms
64 bytes from 10.0.0.8: icmp_seq=265 ttl=64 time=85.1 ms
64 bytes from 10.0.0.8: icmp_seq=268 ttl=64 time=16.7 ms
64 bytes from 10.0.0.8: icmp_seq=269 ttl=64 time=29.6 ms
64 bytes from 10.0.0.8: icmp_seq=270 ttl=64 time=50.4 ms
64 bytes from 10.0.0.8: icmp_seq=271 ttl=64 time=71.5 ms
64 bytes from 10.0.0.8: icmp_seq=272 ttl=64 time=84.4 ms
64 bytes from 10.0.0.8: icmp_seq=275 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=276 ttl=64 time=50.6 ms
64 bytes from 10.0.0.8: icmp_seq=277 ttl=64 time=87.6 ms
64 bytes from 10.0.0.8: icmp_seq=278 ttl=64 time=84.2 ms
64 bytes from 10.0.0.8: icmp_seq=279 ttl=64 time=81.5 ms
64 bytes from 10.0.0.8: icmp_seq=282 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=283 ttl=64 time=71.7 ms
64 bytes from 10.0.0.8: icmp_seq=284 ttl=64 time=76.3 ms
64 bytes from 10.0.0.8: icmp_seq=285 ttl=64 time=73.5 ms
64 bytes from 10.0.0.8: icmp_seq=289 ttl=64 time=26.7 ms
64 bytes from 10.0.0.8: icmp_seq=290 ttl=64 time=79.6 ms
64 bytes from 10.0.0.8: icmp_seq=291 ttl=64 time=69.2 ms
64 bytes from 10.0.0.8: icmp_seq=292 ttl=64 time=82.6 ms
64 bytes from 10.0.0.8: icmp_seq=295 ttl=64 time=45.3 ms
64 bytes from 10.0.0.8: icmp_seq=296 ttl=64 time=18.5 ms
64 bytes from 10.0.0.8: icmp_seq=297 ttl=64 time=55.6 ms
64 bytes from 10.0.0.8: icmp_seq=298 ttl=64 time=76.5 ms
64 bytes from 10.0.0.8: icmp_seq=299 ttl=64 time=114 ms
64 bytes from 10.0.0.8: icmp_seq=302 ttl=64 time=27.1 ms
64 bytes from 10.0.0.8: icmp_seq=303 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=304 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=305 ttl=64 time=41.8 ms
64 bytes from 10.0.0.8: icmp_seq=306 ttl=64 time=54.7 ms
64 bytes from 10.0.0.8: icmp_seq=309 ttl=64 time=16.3 ms
64 bytes from 10.0.0.8: icmp_seq=310 ttl=64 time=66.3 ms
64 bytes from 10.0.0.8: icmp_seq=311 ttl=64 time=103 ms
64 bytes from 10.0.0.8: icmp_seq=312 ttl=64 time=89.2 ms
64 bytes from 10.0.0.8: icmp_seq=313 ttl=64 time=102 ms
64 bytes from 10.0.0.8: icmp_seq=316 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=317 ttl=64 time=34.5 ms
64 bytes from 10.0.0.8: icmp_seq=318 ttl=64 time=63.5 ms
64 bytes from 10.0.0.8: icmp_seq=319 ttl=64 time=60.2 ms
64 bytes from 10.0.0.8: icmp_seq=320 ttl=64 time=74.4 ms
64 bytes from 10.0.0.8: icmp_seq=323 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=324 ttl=64 time=70.6 ms
64 bytes from 10.0.0.8: icmp_seq=325 ttl=64 time=91.5 ms
64 bytes from 10.0.0.8: icmp_seq=326 ttl=64 time=105 ms
64 bytes from 10.0.0.8: icmp_seq=329 ttl=64 time=53.1 ms
64 bytes from 10.0.0.8: icmp_seq=330 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=331 ttl=64 time=14.4 ms
64 bytes from 10.0.0.8: icmp_seq=332 ttl=64 time=51.6 ms
64 bytes from 10.0.0.8: icmp_seq=333 ttl=64 time=64.4 ms
64 bytes from 10.0.0.8: icmp_seq=336 ttl=64 time=42.2 ms
64 bytes from 10.0.0.8: icmp_seq=337 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=338 ttl=64 time=74.2 ms
64 bytes from 10.0.0.8: icmp_seq=339 ttl=64 time=95.4 ms
64 bytes from 10.0.0.8: icmp_seq=340 ttl=64 time=102 ms
64 bytes from 10.0.0.8: icmp_seq=343 ttl=64 time=25.5 ms
64 bytes from 10.0.0.8: icmp_seq=344 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=345 ttl=64 time=41.7 ms
64 bytes from 10.0.0.8: icmp_seq=346 ttl=64 time=54.4 ms
64 bytes from 10.0.0.8: icmp_seq=347 ttl=64 time=51.6 ms
64 bytes from 10.0.0.8: icmp_seq=350 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=351 ttl=64 time=50.4 ms
64 bytes from 10.0.0.8: icmp_seq=352 ttl=64 time=95.7 ms
64 bytes from 10.0.0.8: icmp_seq=353 ttl=64 time=93.1 ms
64 bytes from 10.0.0.8: icmp_seq=354 ttl=64 time=107 ms
64 bytes from 10.0.0.8: icmp_seq=357 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=358 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=359 ttl=64 time=50.0 ms
