PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=22.0 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=40.0 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=34 ttl=64 time=135 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=24.2 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=15.6 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=47 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=48 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=52 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=53 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=54 ttl=64 time=12.8 ms
64 bytes from 10.0.0.8: icmp_seq=57 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=58 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=62 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=63 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=66 ttl=64 time=49.0 ms
64 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=68 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=27.6 ms
64 bytes from 10.0.0.8: icmp_seq=72 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=73 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=76 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=77 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=81 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=82 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=83 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=86 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=87 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=90 ttl=64 time=59.6 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=92 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=95 ttl=64 time=39.4 ms
64 bytes from 10.0.0.8: icmp_seq=96 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=97 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=100 ttl=64 time=23.4 ms
64 bytes from 10.0.0.8: icmp_seq=101 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=102 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=105 ttl=64 time=15.4 ms
64 bytes from 10.0.0.8: icmp_seq=106 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=107 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=110 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=111 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=112 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=115 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=116 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=117 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=120 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=121 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=125 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=126 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=129 ttl=64 time=43.6 ms
64 bytes from 10.0.0.8: icmp_seq=130 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=131 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=134 ttl=64 time=23.4 ms
64 bytes from 10.0.0.8: icmp_seq=135 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=136 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=139 ttl=64 time=15.6 ms
64 bytes from 10.0.0.8: icmp_seq=140 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=141 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=144 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=145 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=146 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=149 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=150 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=151 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=154 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=155 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=158 ttl=64 time=59.6 ms
64 bytes from 10.0.0.8: icmp_seq=159 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=160 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=163 ttl=64 time=43.4 ms
64 bytes from 10.0.0.8: icmp_seq=164 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=165 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=168 ttl=64 time=27.5 ms
64 bytes from 10.0.0.8: icmp_seq=169 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=170 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=173 ttl=64 time=19.3 ms
64 bytes from 10.0.0.8: icmp_seq=174 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=175 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=178 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=179 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=180 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=183 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=184 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=185 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=188 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=189 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=193 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=194 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=197 ttl=64 time=47.6 ms
64 bytes from 10.0.0.8: icmp_seq=198 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=199 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=202 ttl=64 time=35.4 ms
64 bytes from 10.0.0.8: icmp_seq=203 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=204 ttl=64 time=12.3 ms
