PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=48.1 ms
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=15.0 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=43.6 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=18.0 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=74.6 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=88.3 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=12.7 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=17.5 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=79.6 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=68.6 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=49.7 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=87.4 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=87.1 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=50.0 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=42.0 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=71.5 ms
64 bytes from 10.0.0.8: icmp_seq=36 ttl=64 time=37.0 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=21.7 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=67.1 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=21.7 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=45 ttl=64 time=53.6 ms
64 bytes from 10.0.0.8: icmp_seq=48 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=50 ttl=64 time=74.4 ms
64 bytes from 10.0.0.8: icmp_seq=51 ttl=64 time=95.6 ms
64 bytes from 10.0.0.8: icmp_seq=54 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=55 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=56 ttl=64 time=78.4 ms
64 bytes from 10.0.0.8: icmp_seq=57 ttl=64 time=67.3 ms
64 bytes from 10.0.0.8: icmp_seq=60 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=61 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=62 ttl=64 time=54.4 ms
64 bytes from 10.0.0.8: icmp_seq=65 ttl=64 time=58.8 ms
64 bytes from 10.0.0.8: icmp_seq=66 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=45.3 ms
64 bytes from 10.0.0.8: icmp_seq=68 ttl=64 time=74.5 ms
64 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=51.6 ms
64 bytes from 10.0.0.8: icmp_seq=72 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=73 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=74 ttl=64 time=60.8 ms
64 bytes from 10.0.0.8: icmp_seq=77 ttl=64 time=35.1 ms
64 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=79 ttl=64 time=54.3 ms
64 bytes from 10.0.0.8: icmp_seq=80 ttl=64 time=75.7 ms
64 bytes from 10.0.0.8: icmp_seq=83 ttl=64 time=14.0 ms
64 bytes from 10.0.0.8: icmp_seq=84 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=85 ttl=64 time=21.9 ms
64 bytes from 10.0.0.8: icmp_seq=86 ttl=64 time=58.9 ms
64 bytes from 10.0.0.8: icmp_seq=89 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=90 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=54.4 ms
64 bytes from 10.0.0.8: icmp_seq=92 ttl=64 time=75.6 ms
64 bytes from 10.0.0.8: icmp_seq=95 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=96 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=97 ttl=64 time=58.1 ms
64 bytes from 10.0.0.8: icmp_seq=98 ttl=64 time=64.4 ms
64 bytes from 10.0.0.8: icmp_seq=101 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=102 ttl=64 time=21.8 ms
64 bytes from 10.0.0.8: icmp_seq=103 ttl=64 time=42.4 ms
64 bytes from 10.0.0.8: icmp_seq=106 ttl=64 time=46.3 ms
64 bytes from 10.0.0.8: icmp_seq=107 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=108 ttl=64 time=25.5 ms
64 bytes from 10.0.0.8: icmp_seq=109 ttl=64 time=70.7 ms
64 bytes from 10.0.0.8: icmp_seq=112 ttl=64 time=26.5 ms
64 bytes from 10.0.0.8: icmp_seq=113 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=114 ttl=64 time=37.3 ms
64 bytes from 10.0.0.8: icmp_seq=115 ttl=64 time=50.5 ms
64 bytes from 10.0.0.8: icmp_seq=118 ttl=64 time=18.9 ms
64 bytes from 10.0.0.8: icmp_seq=119 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=120 ttl=64 time=45.4 ms
64 bytes from 10.0.0.8: icmp_seq=121 ttl=64 time=74.8 ms
64 bytes from 10.0.0.8: icmp_seq=124 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=125 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=126 ttl=64 time=37.4 ms
64 bytes from 10.0.0.8: icmp_seq=127 ttl=64 time=51.4 ms
